2364, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
2364, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
2364, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
2364, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
2364, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
2364, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
2364, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
2364, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
2364, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
4280, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
4280, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
4280, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
4280, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
4280, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
4280, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
4280, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
4280, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
4280, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
145, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
145, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
145, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
145, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
145, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
145, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
145, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
145, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
145, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1444, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1444, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1444, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1444, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1444, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1444, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1444, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1444, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1444, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
7358, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
7358, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
7358, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
7358, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
7358, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
7358, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
7358, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
7358, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
7358, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
6024, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
6024, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
6024, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
6024, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
6024, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
6024, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
6024, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
6024, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
6024, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1218, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1218, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1218, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1218, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1218, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1218, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1218, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1218, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1218, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
25, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
25, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
25, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
25, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
25, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
25, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
25, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
25, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
25, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
2759, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
2759, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
2759, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
2759, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
2759, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
2759, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
2759, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
2759, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
2759, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
8844, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
8844, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
8844, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
8844, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
8844, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
8844, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
8844, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
8844, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
8844, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
12715, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
12715, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
12715, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
12715, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
12715, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
12715, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
12715, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
12715, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
12715, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
18271, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
18271, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
18271, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
18271, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
18271, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
18271, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
18271, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
18271, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
18271, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
11534, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
11534, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
11534, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
11534, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
11534, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
11534, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
11534, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
11534, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
11534, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
903, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
903, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
903, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
