2364, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
2364, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
2364, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
2364, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
2364, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
2364, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
2364, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
2364, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
2364, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
4280, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
4280, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
4280, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
4280, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
4280, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
4280, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
4280, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
4280, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
4280, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
145, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
145, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
145, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
145, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
145, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
145, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
145, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
145, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
145, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1444, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1444, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1444, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1444, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1444, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1444, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1444, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1444, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1444, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
7358, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
7358, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
7358, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
7358, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
7358, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
7358, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
7358, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
7358, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
7358, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
6024, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
6024, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
6024, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
6024, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
6024, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
6024, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
6024, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
6024, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
6024, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1218, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1218, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1218, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1218, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1218, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1218, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1218, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1218, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1218, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
25, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
25, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
25, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
25, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
25, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
25, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
25, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
25, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
25, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
2759, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
2759, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
2759, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
2759, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
2759, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
2759, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
2759, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
2759, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
2759, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
8844, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
8844, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
8844, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
8844, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
8844, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
8844, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
8844, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
8844, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
8844, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
12715, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
12715, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
12715, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
12715, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
12715, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
12715, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
12715, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
12715, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
12715, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
18271, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
18271, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
18271, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
18271, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
18271, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
18271, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
18271, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
18271, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
18271, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
11534, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
11534, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
11534, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
11534, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
11534, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
